sample,condition,gene,normalized_counts
ana6,ana,OMG,4.09421130633411
ana6,ana,KRTAP3-1,0
ana6,ana,NGFR,94.9857023069513
ana6,ana,LINC01970,10.6449493964687
ana6,ana,DSC3,266.123734911717
ana6,ana,DSG3,205.529407577972
ana6,ana,GADD45B,398.776181236942
ana6,ana,CDC42EP5,301.33395214619
ana6,ana,TMEM190,21.2898987929374
ana6,ana,TMEM238,14.7391607028028
ana6,ana,AC012313.1,12.2826339190023
ana6,ana,PLCB1,22.1087410542042
ana6,ana,BPIFA2,106.449493964687
ana6,ana,TIAM1,119.550970144956
fuso1,fuso,HES5,7.09380300960937
fuso1,fuso,POU3F1,15.3699065208203
fuso1,fuso,EDN2,59.1150250800781
fuso1,fuso,FAM183A,16.5522070224219
fuso1,fuso,PIFO,40.1982170544531
fuso1,fuso,AL451085.1,11.8230050160156
fuso1,fuso,HSPA6,653.812177385664
fuso1,fuso,FMO2,41.3805175560547
fuso1,fuso,LEMD1,23.6460100320312
fuso1,fuso,EHD3,13.0053055176172
fuso1,fuso,CYP1B1,378.3361605125
fuso1,fuso,DUSP2,100.495542636133
fuso1,fuso,AC013264.1,7.09380300960937
fuso1,fuso,HES1,912.735987236406
fuso1,fuso,ADH1C,66.2088280896875
fuso1,fuso,PCDH10,17.7345075240234
fuso1,fuso,C5orf49,39.0159165528516
fuso1,fuso,CDC20B,14.1876060192187
fuso1,fuso,FAM169A,27.1929115368359
fuso1,fuso,LTC4S,30.7398130416406
fuso1,fuso,HSPA1A,3309.25910398277
fuso1,fuso,HSPA1B,1763.99234838953
fuso1,fuso,GSTA1,427.992781579766
fuso1,fuso,AL355312.4,22.4637095304297
fuso1,fuso,PIP,433.904284087773
fuso1,fuso,NEFM,43.7451185592578
fuso1,fuso,EFCAB1,16.5522070224219
fuso1,fuso,ARC,43.7451185592578
fuso1,fuso,C9orf24,21.2814090288281
fuso1,fuso,GADD45G,74.4849316008984
fuso1,fuso,PALM2-AKAP2,50.8389215688672
fuso1,fuso,IER5L,250.647706339531
fuso1,fuso,MSMB,9353.17926816996
fuso1,fuso,DYDC2,7.09380300960937
fuso1,fuso,INA,22.4637095304297
fuso1,fuso,FUOM,69.7557295944922
fuso1,fuso,PGGHG,46.1097195624609
fuso1,fuso,CDKN1C,161.975168719414
fuso1,fuso,LINC02709,41.3805175560547
fuso1,fuso,MMP7,33.1044140448438
fuso1,fuso,MIR200CHG,42.5628180576563
fuso1,fuso,ERP27,10.6407045144141
fuso1,fuso,AC023157.3,114.683148655352
fuso1,fuso,NR4A1,224.637095304297
fuso1,fuso,PCDH9,20.0991085272266
fuso1,fuso,LINC02300,42.5628180576563
fuso1,fuso,FOS,2435.53903329922
fuso1,fuso,AL357093.2,16.5522070224219
fuso1,fuso,CYP1A1,4.72920200640625
fuso1,fuso,MSLN,171.433572732227
fuso1,fuso,CRYM,30.7398130416406
fuso1,fuso,CHP2,76.8495326041016
fuso1,fuso,HSD17B2,92.2194391249219
fuso1,fuso,ZFPM1,54.3858230736719
fuso1,fuso,LINC00324,35.4690150480469
fuso1,fuso,RASD1,78.0318331057031
fuso1,fuso,OMG,1.18230050160156
fuso1,fuso,KRTAP3-1,53.2035225720703
fuso1,fuso,NGFR,39.0159165528516
fuso1,fuso,LINC01970,34.2867145464453
fuso1,fuso,DSC3,68.5734290928906
fuso1,fuso,DSG3,16.5522070224219
fuso1,fuso,GADD45B,1293.43674875211
fuso1,fuso,CDC42EP5,567.50424076875
fuso1,fuso,TMEM190,29.5575125400391
fuso1,fuso,TMEM238,22.4637095304297
fuso1,fuso,AC012313.1,3.54690150480469
fuso1,fuso,PLCB1,23.6460100320312
fuso1,fuso,BPIFA2,367.695455998086
fuso1,fuso,TIAM1,43.7451185592578
fuso2,fuso,HES5,26.4701667014404
fuso2,fuso,POU3F1,90.4397362299215
fuso2,fuso,EDN2,39.7052500521607
fuso2,fuso,FAM183A,26.4701667014404
fuso2,fuso,PIFO,37.4994028270406
fuso2,fuso,AL451085.1,4.41169445024007
fuso2,fuso,HSPA6,1058.80666805762
fuso2,fuso,FMO2,15.4409305758403
fuso2,fuso,LEMD1,15.4409305758403
fuso2,fuso,EHD3,19.8526250260803
fuso2,fuso,CYP1B1,202.937944711043
fuso2,fuso,DUSP2,288.965986490725
fuso2,fuso,AC013264.1,4.41169445024007
fuso2,fuso,HES1,866.897959472175
fuso2,fuso,ADH1C,30.8818611516805
fuso2,fuso,PCDH10,17.6467778009603
fuso2,fuso,C5orf49,24.2643194763204
fuso2,fuso,CDC20B,13.2350833507202
fuso2,fuso,FAM169A,19.8526250260803
fuso2,fuso,LTC4S,24.2643194763204
fuso2,fuso,HSPA1A,7060.91696760924
fuso2,fuso,HSPA1B,2830.10198982901
fuso2,fuso,GSTA1,269.113361464644
fuso2,fuso,AL355312.4,35.2935556019206
fuso2,fuso,PIP,397.052500521607
fuso2,fuso,NEFM,163.232694658883
