sample,condition,gene,normalized_counts
ana3,ana,SMIM22,525.01905533091
ana3,ana,AC099518.4,5.3032227811203
ana3,ana,LINC01571,11.9322512575207
ana3,ana,AC007906.2,250.577276407934
ana3,ana,DYNLRB2,274.441778922975
ana3,ana,PLCG2,810.067279816126
ana3,ana,FAM92B,224.061162502333
ana3,ana,LINC02166,18.561279733921
ana3,ana,TEKT1,173.68054608169
ana3,ana,LRRC75A,13.2580569528007
ana3,ana,DRC3,57.0096448970432
ana3,ana,B9D1,64.9644790687237
ana3,ana,AC087393.2,19.8870854292011
ana3,ana,LYRM9,10.6064455622406
ana3,ana,OMG,67.6160904592838
ana3,ana,CCL15,79.5483417168045
ana3,ana,CAVIN1,75.5709246309643
ana3,ana,NGFR,60.9870619828834
ana3,ana,AC015813.8,3.97741708584022
ana3,ana,LPO,11.9322512575207
ana3,ana,SMIM5,11.9322512575207
ana3,ana,MTCL1,49.0548107253628
ana3,ana,DSC3,71.593507545124
ana3,ana,DSG3,67.6160904592838
ana3,ana,PARD6G-AS1,38.4483651631222
ana3,ana,AC005523.1,3.97741708584022
ana3,ana,PEX11G,9.28063986696052
ana3,ana,FBXW9,62.3128676781635
ana3,ana,MISP3,43.7515879442425
ana3,ana,CRLF1,30.4935309914417
ana3,ana,IL4I1,5.3032227811203
ana3,ana,AC010624.1,3.97741708584022
ana3,ana,AC010624.5,2.65161139056015
ana3,ana,TMEM238,13.2580569528007
ana3,ana,AL121899.1,33.1451423820019
ana3,ana,SPEF1,71.593507545124
ana3,ana,RALY-AS1,14.5838626480808
ana3,ana,WFDC6,7.95483417168045
ana3,ana,EPPIN,9.28063986696052
ana3,ana,C20orf85,867.076924713169
ana3,ana,LKAAEAR1,10.6064455622406
ana3,ana,FAM3B,6.62902847640037
ana3,ana,UMODL1-AS1,1.32580569528007
ana3,ana,RSPH14,14.5838626480808
ana3,ana,Z95115.1,6.62902847640037
ana3,ana,AC004832.1,15.9096683433609
